,koi_id,kic_id,kep_mag,Rstar,logrho,Teff,FeH,logg,limbdark_1,limbdark_2,npl,period,epoch,depth,duration,impact,ecc,omega,ror,dor,ttv_type
424,K02604,9019191,15.323,0.7000040240951785,0.3195550899109578,4820.799726535991,-0.12129462145159027,4.61,0.7391848050329478,0.017951579238870776,1,14.43348326,152.528400618047,0.0005267025,0.13591308543057884,0.3897118243207525,0.006051093345009779,-0.9860299190964503,0.02295,32.14,sinusoidal
425,K02614,5807769,14.59,1.1639558224448752,-0.19806787540771637,5929.358307635343,0.06682006744469918,4.324,0.5838703649780658,0.1669210445973478,1,7.99022379,137.20633361557478,0.0001658944,0.16512632206714936,0.357546216211317,0.004891720874688733,4.311534080189739,0.01288,14.677,none
426,K02617,4915638,15.868,0.7467759088874479,0.28428977853412574,5168.2091021613405,-0.1964239760457928,4.582,0.646097168826671,0.12443916512454342,1,8.63050092,144.9084349567367,0.0003258025,0.09728612327651158,0.647859337131463,0.021365615016827426,2.1142027473296525,0.01805,21.787,none
427,K02619,8081905,15.934,1.00876006608599,-0.12962134230951855,5507.125731455218,0.11068480259429778,4.389,0.5752936349089232,-0.011061904311830163,1,3.27645723,134.0042444684796,0.0003229209,0.11667505454509934,0.22876443848400546,0.019826703194490126,3.9916070114268107,0.01797,9.02,cubic
428,K02625,9153570,15.89,0.8618341875478672,0.12883039925605375,5290.1761382013365,0.055934798301897216,4.499,0.7284589006096812,-0.030818988412823857,1,3.81371423,134.9317045302843,0.00028089760000000005,0.10654108598901788,0.27779428091691166,0.03208689550002817,3.82424042072736,0.01676,11.386,gaussian
429,K02627,6124512,14.667,2.070511945560634,-0.9378615698909779,5296.61420925239,0.013124486278309658,3.848,0.6790057156947915,0.021270768194510424,1,8.38395796,139.59575982694685,0.00010857640000000001,0.29716587073738937,0.31969794492635906,0.03525136104257963,-0.24768745332458675,0.01042,8.701,gaussian
430,K02631,7584650,13.468,1.5451358554182753,-0.568769789762487,5962.767782842662,-0.2632384633483334,4.044,0.7827258121593345,0.1061591062545415,1,44.9977604,188.04052954264526,0.00017030250000000003,0.37587104325970155,0.46631718117210313,0.020623662539359332,0.08504438566273431,0.01305,34.211,none
431,K02632,11337566,11.392,2.1615150551510705,-0.8499839717698913,6577.570602914811,-0.1063512528982014,3.932,0.46567743175140985,-0.004580960950317889,1,7.12815163,141.2855925278121,4.58329e-05,0.25278583921034503,0.4311706419289513,0.012492592377792027,3.0470859713161538,0.00677,8.184,none
432,K02634,1995519,15.922,0.9660331511355889,0.011207550632526774,5428.400356403509,-0.02829917649675201,4.433,0.6965573257900385,0.020893968118159044,1,19.9401211,154.67242145859086,0.0007590025000000001,0.08798109635445082,0.9211318967226753,0.0425804754741473,1.8619949963290807,0.02755,31.552,none
433,K02635,4914566,12.816,1.8149452300253686,-0.7120006302520858,6248.313958640005,-0.06717667915199613,4.025,0.7110395531332998,0.03395293704804424,1,22.2420032,158.47024271940666,6.35209e-05,0.35627647066788687,0.09609857977536894,0.0006077170847533589,3.343616922666147,0.00797,19.95,cubic
434,K02636,6198182,12.32,1.0158269474175445,-0.03294145304970076,5603.071591553455,0.05526115882621094,4.39,0.7759632828446301,0.09037329889272593,1,3.88148385,137.52207933868974,3.62404e-05,0.08075445166494168,0.7623148567657961,0.027674233696179155,0.38378266548992346,0.00602,9.974,smooth
435,K02639,11391755,15.527,1.7611625297885798,-0.6863961066919809,5824.480979649656,-0.013178326720066434,4.0,0.5457778924676439,0.09307827683660165,1,25.1123362,161.86700333745364,0.0003988009000000001,0.1793916069813657,0.8979187949545931,0.00564935684397109,2.9033717728564783,0.01997,21.55,sinusoidal
436,K02641,8894646,13.845,1.553441942558791,-0.5155483418508637,5870.359838294039,0.12829924329297374,4.111,0.6261824977841425,0.11693656013117529,1,3.55557922,134.94954496909764,6.03729e-05,0.12420113655184402,0.7260559922894907,0.027509909303019466,4.627574369438902,0.00777,6.596,cubic
437,K02649,6842682,14.64,1.0058373008602517,-0.020638514567025357,5847.207672401854,-0.09100198144434632,4.43,0.711842154590269,-0.05344119570556905,1,7.56126152,140.31001478368356,0.00018063360000000002,0.12412885494983664,0.5784902178544623,0.006050451516342837,3.362444862634571,0.01344,16.173,gaussian
438,K02654,9664142,15.785,1.0771725906853522,-0.10230257208767535,5857.456021610529,-0.14884412807267794,4.364,0.5532570874046728,0.08045426977097754,1,13.5631157,149.03628258343633,0.0003363556,0.1948567896376723,0.18446168186001904,0.00043232524421272676,3.5108550263437976,0.01834,22.201,sinusoidal
